MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20110927,GA,5.62,94.38,90.72,85.56,78.76,0.00,2011-09-27,2011-10-03,1
20110920,GA,5.35,94.65,91.22,86.43,79.48,0.00,2011-09-20,2011-09-26,1
20110913,GA,5.35,94.65,91.22,86.43,80.42,0.00,2011-09-13,2011-09-19,1
20110906,GA,5.35,94.65,91.23,86.43,80.42,0.00,2011-09-06,2011-09-12,1
20110830,GA,0.00,100.00,99.99,90.82,79.64,0.00,2011-08-30,2011-09-05,1
20110823,GA,0.00,100.00,92.73,81.31,52.11,0.00,2011-08-23,2011-08-29,1
20110816,GA,0.07,99.93,88.01,79.91,51.32,0.00,2011-08-16,2011-08-22,1
20110809,GA,0.07,99.93,88.01,80.01,66.29,4.34,2011-08-09,2011-08-15,1
20110802,GA,0.07,99.93,88.01,80.01,68.38,4.42,2011-08-02,2011-08-08,1
20110726,GA,4.53,95.47,87.18,78.16,68.38,8.74,2011-07-26,2011-08-01,1
20110719,GA,5.17,94.83,82.96,75.00,68.38,8.74,2011-07-19,2011-07-25,1
20110712,GA,3.27,96.73,85.37,75.00,68.79,35.52,2011-07-12,2011-07-18,1
20110705,GA,2.58,97.42,85.51,74.91,68.91,40.45,2011-07-05,2011-07-11,1
20110628,GA,2.58,97.42,85.51,74.91,68.91,41.18,2011-06-28,2011-07-04,1
20110621,GA,0.00,100.00,87.48,74.91,68.91,41.18,2011-06-21,2011-06-27,1
20110614,GA,0.00,100.00,81.28,71.88,57.33,15.98,2011-06-14,2011-06-20,1
20110607,GA,0.62,99.38,81.28,71.81,54.91,5.77,2011-06-07,2011-06-13,1
20110531,GA,8.95,91.05,81.25,71.79,54.85,0.00,2011-05-31,2011-06-06,1
20110524,GA,8.95,91.05,76.99,65.86,13.28,0.00,2011-05-24,2011-05-30,1
20110517,GA,12.06,87.94,77.09,64.91,10.22,0.00,2011-05-17,2011-05-23,1
20110510,GA,16.44,83.56,70.01,40.45,8.39,0.00,2011-05-10,2011-05-16,1
20110503,GA,23.24,76.76,69.87,18.79,0.00,0.00,2011-05-03,2011-05-09,1
20110426,GA,23.24,76.76,72.35,18.79,0.00,0.00,2011-04-26,2011-05-02,1
20110419,GA,23.24,76.76,72.35,18.79,0.00,0.00,2011-04-19,2011-04-25,1
20110412,GA,22.47,77.53,73.04,18.79,6.94,0.00,2011-04-12,2011-04-18,1
20110405,GA,23.01,76.99,72.91,18.75,6.94,0.00,2011-04-05,2011-04-11,1
20110329,GA,20.85,79.15,71.91,24.62,9.55,0.00,2011-03-29,2011-04-04,1
20110322,GA,8.66,91.34,78.94,21.91,6.18,0.00,2011-03-22,2011-03-28,1
20110315,GA,8.66,91.34,70.51,21.91,6.18,0.00,2011-03-15,2011-03-21,1
20110308,GA,2.93,97.07,77.30,22.09,6.18,0.00,2011-03-08,2011-03-14,1
20110301,GA,0.00,100.00,77.30,22.09,6.18,0.00,2011-03-01,2011-03-07,1
20110222,GA,0.00,100.00,76.22,21.87,6.18,0.00,2011-02-22,2011-02-28,1
20110215,GA,0.00,100.00,76.22,21.87,6.18,0.00,2011-02-15,2011-02-21,1
20110208,GA,3.05,96.95,74.89,21.87,6.18,0.00,2011-02-08,2011-02-14,1
20110201,GA,0.00,100.00,85.28,40.63,6.18,0.00,2011-02-01,2011-02-07,1
20110125,GA,0.00,100.00,85.28,40.63,6.49,0.00,2011-01-25,2011-01-31,1
20110118,GA,0.00,100.00,85.28,40.63,6.49,0.00,2011-01-18,2011-01-24,1
20110111,GA,2.40,97.60,85.33,40.63,6.49,0.00,2011-01-11,2011-01-17,1
20110104,GA,2.40,97.60,85.33,40.34,6.49,0.00,2011-01-04,2011-01-10,1
20101228,GA,2.42,97.58,85.37,40.34,6.49,0.00,2010-12-28,2011-01-03,1
20101221,GA,2.42,97.58,85.37,41.42,7.65,0.00,2010-12-21,2010-12-27,1
20101214,GA,1.90,98.10,85.37,41.42,8.08,0.00,2010-12-14,2010-12-20,1
20101207,GA,1.90,98.10,88.32,39.21,6.31,0.00,2010-12-07,2010-12-13,1
20101130,GA,0.00,100.00,90.11,39.22,0.00,0.00,2010-11-30,2010-12-06,1
20101123,GA,0.00,100.00,86.28,38.01,0.00,0.00,2010-11-23,2010-11-29,1
20101116,GA,5.15,94.85,45.00,19.23,0.00,0.00,2010-11-16,2010-11-22,1
20101109,GA,5.15,94.85,45.62,19.85,0.00,0.00,2010-11-09,2010-11-15,1
20101102,GA,5.15,94.85,41.35,19.85,0.00,0.00,2010-11-02,2010-11-08,1
20101026,GA,9.64,90.36,46.92,12.22,0.00,0.00,2010-10-26,2010-11-01,1
20101019,GA,9.66,90.34,45.53,9.20,0.00,0.00,2010-10-19,2010-10-25,1
20101012,GA,10.99,89.01,37.25,4.04,0.00,0.00,2010-10-12,2010-10-18,1
20101005,GA,10.99,89.01,36.83,4.04,0.00,0.00,2010-10-05,2010-10-11,1
20100928,GA,4.80,95.20,39.24,5.11,0.00,0.00,2010-09-28,2010-10-04,1
20100921,GA,0.00,100.00,40.59,0.00,0.00,0.00,2010-09-21,2010-09-27,1
20100914,GA,8.01,91.99,39.51,0.00,0.00,0.00,2010-09-14,2010-09-20,1
20100907,GA,53.52,46.48,10.01,0.00,0.00,0.00,2010-09-07,2010-09-13,1
20100831,GA,59.28,40.72,10.01,0.00,0.00,0.00,2010-08-31,2010-09-06,1
20100824,GA,59.28,40.72,10.01,0.00,0.00,0.00,2010-08-24,2010-08-30,1
20100817,GA,32.09,67.91,10.10,0.00,0.00,0.00,2010-08-17,2010-08-23,1
20100810,GA,46.10,53.90,10.10,0.00,0.00,0.00,2010-08-10,2010-08-16,1
20100803,GA,61.55,38.45,0.46,0.00,0.00,0.00,2010-08-03,2010-08-09,1
20100727,GA,58.22,41.78,0.15,0.00,0.00,0.00,2010-07-27,2010-08-02,1
20100720,GA,47.06,52.94,0.00,0.00,0.00,0.00,2010-07-20,2010-07-26,1
20100713,GA,93.55,6.45,0.00,0.00,0.00,0.00,2010-07-13,2010-07-19,1
20100706,GA,97.31,2.69,0.00,0.00,0.00,0.00,2010-07-06,2010-07-12,1
20100629,GA,99.93,0.07,0.00,0.00,0.00,0.00,2010-06-29,2010-07-05,1
20100622,GA,99.84,0.16,0.00,0.00,0.00,0.00,2010-06-22,2010-06-28,1
20100615,GA,99.84,0.16,0.00,0.00,0.00,0.00,2010-06-15,2010-06-21,1
20100608,GA,99.84,0.16,0.00,0.00,0.00,0.00,2010-06-08,2010-06-14,1
20100601,GA,99.84,0.16,0.00,0.00,0.00,0.00,2010-06-01,2010-06-07,1
20100525,GA,99.84,0.16,0.00,0.00,0.00,0.00,2010-05-25,2010-05-31,1
20100518,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-05-18,2010-05-24,1
20100511,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-05-11,2010-05-17,1
20100504,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-05-04,2010-05-10,1
20100427,GA,98.49,1.51,0.00,0.00,0.00,0.00,2010-04-27,2010-05-03,1
20100420,GA,97.21,2.79,0.00,0.00,0.00,0.00,2010-04-20,2010-04-26,1
20100413,GA,98.70,1.30,0.00,0.00,0.00,0.00,2010-04-13,2010-04-19,1
20100406,GA,98.29,1.71,0.00,0.00,0.00,0.00,2010-04-06,2010-04-12,1
20100330,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-03-30,2010-04-05,1
20100323,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-03-23,2010-03-29,1
20100316,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-03-16,2010-03-22,1
20100309,GA,99.99,0.01,0.00,0.00,0.00,0.00,2010-03-09,2010-03-15,1
20100302,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-03-02,2010-03-08,1
20100223,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-02-23,2010-03-01,1
20100216,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-02-16,2010-02-22,1
20100209,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-02-09,2010-02-15,1
20100202,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-02-02,2010-02-08,1
20100126,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-01-26,2010-02-01,1
20100119,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-01-19,2010-01-25,1
20100112,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-01-12,2010-01-18,1
20100105,GA,100.00,0.00,0.00,0.00,0.00,0.00,2010-01-05,2010-01-11,1
20091229,GA,100.00,0.00,0.00,0.00,0.00,0.00,2009-12-29,2010-01-04,1
20091222,GA,100.00,0.00,0.00,0.00,0.00,0.00,2009-12-22,2009-12-28,1
20091215,GA,100.00,0.00,0.00,0.00,0.00,0.00,2009-12-15,2009-12-21,1
20091208,GA,100.00,0.00,0.00,0.00,0.00,0.00,2009-12-08,2009-12-14,1
20091201,GA,97.33,2.67,0.00,0.00,0.00,0.00,2009-12-01,2009-12-07,1
20091124,GA,97.50,2.50,0.00,0.00,0.00,0.00,2009-11-24,2009-11-30,1
20091117,GA,97.50,2.50,0.00,0.00,0.00,0.00,2009-11-17,2009-11-23,1
20091110,GA,97.50,2.50,0.00,0.00,0.00,0.00,2009-11-10,2009-11-16,1
20091103,GA,97.50,2.50,0.00,0.00,0.00,0.00,2009-11-03,2009-11-09,1
20091027,GA,97.50,2.50,0.00,0.00,0.00,0.00,2009-10-27,2009-11-02,1
20091020,GA,97.50,2.50,0.00,0.00,0.00,0.00,2009-10-20,2009-10-26,1
20091013,GA,89.81,10.19,0.00,0.00,0.00,0.00,2009-10-13,2009-10-19,1
20091006,GA,97.02,2.98,0.00,0.00,0.00,0.00,2009-10-06,2009-10-12,1
20090929,GA,96.07,3.93,0.00,0.00,0.00,0.00,2009-09-29,2009-10-05,1
20090922,GA,98.64,1.36,0.00,0.00,0.00,0.00,2009-09-22,2009-09-28,1
20090915,GA,89.92,10.08,0.06,0.00,0.00,0.00,2009-09-15,2009-09-21,1
20090908,GA,83.38,16.62,0.00,0.00,0.00,0.00,2009-09-08,2009-09-14,1
20090901,GA,83.68,16.32,0.00,0.00,0.00,0.00,2009-09-01,2009-09-07,1
20090825,GA,64.83,35.17,0.00,0.00,0.00,0.00,2009-08-25,2009-08-31,1
20090818,GA,55.99,44.01,0.00,0.00,0.00,0.00,2009-08-18,2009-08-24,1
20090811,GA,56.02,43.98,0.00,0.00,0.00,0.00,2009-08-11,2009-08-17,1
20090804,GA,56.02,43.98,0.00,0.00,0.00,0.00,2009-08-04,2009-08-10,1
20090728,GA,61.92,38.08,0.00,0.00,0.00,0.00,2009-07-28,2009-08-03,1
20090721,GA,61.92,38.08,0.00,0.00,0.00,0.00,2009-07-21,2009-07-27,1
20090714,GA,65.39,34.61,0.00,0.00,0.00,0.00,2009-07-14,2009-07-20,1
20090707,GA,59.58,40.42,0.00,0.00,0.00,0.00,2009-07-07,2009-07-13,1
20090630,GA,98.29,1.71,0.00,0.00,0.00,0.00,2009-06-30,2009-07-06,1
20090623,GA,100.00,0.00,0.00,0.00,0.00,0.00,2009-06-23,2009-06-29,1
20090616,GA,100.00,0.00,0.00,0.00,0.00,0.00,2009-06-16,2009-06-22,1
20090609,GA,100.00,0.00,0.00,0.00,0.00,0.00,2009-06-09,2009-06-15,1
20090602,GA,97.53,2.47,0.00,0.00,0.00,0.00,2009-06-02,2009-06-08,1
20090526,GA,97.27,2.73,0.00,0.00,0.00,0.00,2009-05-26,2009-06-01,1
20090519,GA,96.66,3.34,0.00,0.00,0.00,0.00,2009-05-19,2009-05-25,1
20090512,GA,95.07,4.93,0.00,0.00,0.00,0.00,2009-05-12,2009-05-18,1
20090505,GA,92.73,7.27,4.87,0.00,0.00,0.00,2009-05-05,2009-05-11,1
20090428,GA,92.64,7.36,4.87,0.00,0.00,0.00,2009-04-28,2009-05-04,1
20090421,GA,92.64,7.36,4.87,0.00,0.00,0.00,2009-04-21,2009-04-27,1
20090414,GA,92.64,7.36,4.87,0.00,0.00,0.00,2009-04-14,2009-04-20,1
20090407,GA,91.99,8.01,5.01,0.00,0.00,0.00,2009-04-07,2009-04-13,1
20090331,GA,20.76,79.24,40.07,0.00,0.00,0.00,2009-03-31,2009-04-06,1
20090324,GA,2.71,97.29,72.00,8.51,0.00,0.00,2009-03-24,2009-03-30,1
20090317,GA,2.71,97.29,72.00,8.94,3.14,0.00,2009-03-17,2009-03-23,1
20090310,GA,2.71,97.29,71.74,8.94,3.14,0.00,2009-03-10,2009-03-16,1
20090303,GA,2.71,97.29,71.74,8.94,3.14,0.00,2009-03-03,2009-03-09,1
20090224,GA,0.22,99.78,76.51,10.08,3.43,0.00,2009-02-24,2009-03-02,1
20090217,GA,0.22,99.78,30.21,10.08,3.43,0.00,2009-02-17,2009-02-23,1
20090210,GA,0.70,99.30,13.45,8.82,3.20,0.00,2009-02-10,2009-02-16,1
20090203,GA,72.33,27.67,13.19,8.82,3.20,0.00,2009-02-03,2009-02-09,1
20090127,GA,75.18,24.82,13.19,8.82,3.52,0.00,2009-01-27,2009-02-02,1
20090120,GA,75.10,24.90,13.19,8.82,3.52,0.00,2009-01-20,2009-01-26,1
20090113,GA,75.10,24.90,13.19,8.78,3.52,0.00,2009-01-13,2009-01-19,1
20090106,GA,69.29,30.71,21.08,12.16,7.49,0.00,2009-01-06,2009-01-12,1
20081230,GA,69.29,30.71,21.08,12.16,8.81,0.00,2008-12-30,2009-01-05,1
20081223,GA,69.29,30.71,21.11,12.43,8.98,0.00,2008-12-23,2008-12-29,1
20081216,GA,69.29,30.71,21.11,14.08,10.60,0.00,2008-12-16,2008-12-22,1
20081209,GA,52.34,47.66,33.18,28.60,16.62,11.38,2008-12-09,2008-12-15,1
20081202,GA,39.10,60.90,46.79,31.39,18.39,12.06,2008-12-02,2008-12-08,1
20081125,GA,25.89,74.11,59.73,47.24,18.39,12.06,2008-11-25,2008-12-01,1
20081118,GA,25.89,74.11,59.73,47.24,18.39,12.06,2008-11-18,2008-11-24,1
20081111,GA,25.56,74.44,60.54,47.45,19.42,12.06,2008-11-11,2008-11-17,1
20081104,GA,25.56,74.44,60.42,47.45,19.42,1.06,2008-11-04,2008-11-10,1
20081028,GA,25.56,74.44,60.42,47.45,19.42,0.03,2008-10-28,2008-11-03,1
20081021,GA,6.62,93.38,74.64,60.36,22.69,0.03,2008-10-21,2008-10-27,1
